2026/02/25 11:35:55 Authorizing with Application Default Credentials
2026/02/25 11:35:56 [mcp-builder-series-billy:us-central1:living-memory-db] Listening on 127.0.0.1:5433
2026/02/25 11:35:56 The proxy has started successfully and is ready for new connections!
2026/02/25 11:36:20 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:63936
2026/02/25 11:36:20 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:63944
2026/02/25 11:36:30 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:36:30 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:36:53 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64003
2026/02/25 11:36:54 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64005
2026/02/25 11:37:04 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:37:04 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:37:08 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64012
2026/02/25 11:37:08 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64013
2026/02/25 11:37:19 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:37:19 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:37:25 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64047
2026/02/25 11:37:43 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:37:55 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64226
2026/02/25 11:37:56 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64228
2026/02/25 11:38:06 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:38:06 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:38:10 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64243
2026/02/25 11:38:20 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:38:46 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64279
2026/02/25 11:38:46 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64280
2026/02/25 11:38:56 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:38:57 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64291
2026/02/25 11:39:07 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:39:16 [mcp-builder-series-billy:us-central1:living-memory-db] client closed the connection
2026/02/25 11:41:01 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64430
2026/02/25 11:41:01 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64432
2026/02/25 11:41:02 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64461
2026/02/25 11:41:02 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64463
2026/02/25 11:41:02 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64465
2026/02/25 11:41:02 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64467
2026/02/25 11:41:02 [mcp-builder-series-billy:us-central1:living-memory-db] Accepted connection from 127.0.0.1:64469
